Corso di Laurea,Livello,Dipartimento,Classe,Accesso,Lingua,Sede
MATEMATICA,Triennale / Ciclo Unico,"SCIENZE MATEMATICHE E INFORMATICHE, SCIENZE FISICHE  E SCIENZE DELLA TERRA",L-35 R - Scienze matematiche,Libero,italiano,MESSINA
MEDICINA E CHIRURGIA,Triennale / Ciclo Unico,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""",LM-41 R - Medicina e chirurgia,Programmato,italiano,MESSINA
MEDICINA E CHIRURGIA - MEDBIOTECH,Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,LM-41 R - Medicina e chirurgia,Programmato,italiano,MESSINA
MEDICINA VETERINARIA,Triennale / Ciclo Unico,SCIENZE VETERINARIE,LM-42 R - Medicina veterinaria,Programmato,italiano,MESSINA
MEDICINE AND SURGERY,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",LM-41 R - Medicina e chirurgia,Programmato,inglese,MESSINA
ODONTOIATRIA E PROTESI DENTARIA,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",LM-46 R - Odontoiatria e protesi dentaria,Programmato,italiano,MESSINA
ORTOTTICA ED ASSISTENZA OFTALMOLOGICA,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L/SNT2 - Classe delle lauree in Professioni sanitarie della riabilitazione,Programmato,italiano,MESSINA
OSTETRICIA,Triennale / Ciclo Unico,"PATOLOGIA UMANA DELL'ADULTO E DELL'ETA' EVOLUTIVA ""Gaetano Barresi""","L/SNT1 - Classe delle lauree in Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Programmato,italiano,MESSINA
SCIENZE AMBIENTALI MARINE E TERRESTRI,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",L-32 R - Scienze e tecnologie per l'ambiente e la natura,Libero,italiano,MESSINA
SCIENZE BIOLOGICHE,Triennale / Ciclo Unico,"SCIENZE CHIMICHE, BIOLOGICHE, FARMACEUTICHE E AMBIENTALI",L-13 R - Scienze biologiche,Libero,italiano,MESSINA
SCIENZE DEL SERVIZIO SOCIALE,Triennale / Ciclo Unico,SCIENZE POLITICHE E GIURIDICHE,L-39 R - Servizio sociale,Libero,italiano,MESSINA
"SCIENZE DEL TURISMO, DELLA CULTURA E DELL'IMPRESA",Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",L-15 R - Scienze del turismo,Libero,italiano,MESSINA
SCIENZE DELL’INFORMAZIONE: TECNICHE GIORNALISTICHE E SOCIAL MEDIA,Triennale / Ciclo Unico,CIVILTA' ANTICHE E MODERNE,L-20 R - Scienze della comunicazione,Libero,italiano,MESSINA
SCIENZE DELLA FORMAZIONE E DELLA COMUNICAZIONE,Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",L-19 R - Scienze dell'educazione e della formazione,Libero,italiano,NOTO
SCIENZE DELLA FORMAZIONE E DELLA COMUNICAZIONE,Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",L-19 R - Scienze dell'educazione e della formazione,Libero,italiano,NOTO
SCIENZE DELLA FORMAZIONE PRIMARIA,Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",LM-85 BIS - Scienze della formazione primaria,Libero,italiano,MESSINA
SCIENZE E TECNICHE PSICOLOGICHE,Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",L-24 R - Scienze e tecniche psicologiche,Libero,italiano,MESSINA
SCIENZE E TECNICHE PSICOLOGICHE,Triennale / Ciclo Unico,"SCIENZE COGNITIVE, PSICOLOGICHE, PEDAGOGICHE E DEGLI STUDI CULTURALI",L-24 R - Scienze e tecniche psicologiche,Libero,italiano,NOTO
SCIENZE E TECNICHE PSICOLOGICHE CLINICHE E PREVENTIVE,Triennale / Ciclo Unico,MEDICINA CLINICA E SPERIMENTALE,L-24 R - Scienze e tecniche psicologiche,Libero,italiano,MESSINA
SCIENZE E TECNOLOGIE AGRARIE PER LA TRANSIZIONE ECOLOGICA,Triennale / Ciclo Unico,SCIENZE VETERINARIE,L-25 R - Scienze e tecnologie agrarie e forestali,Libero,italiano,MESSINA
SCIENZE E TECNOLOGIE DELLA NAVIGAZIONE,Triennale / Ciclo Unico,INGEGNERIA,L-28 R - Scienze e tecnologie della navigazione,Libero,italiano,MESSINA
SCIENZE GASTRONOMICHE,Triennale / Ciclo Unico,"SCIENZE BIOMEDICHE, ODONTOIATRICHE E DELLE IMMAGINI MORFOLOGICHE E FUNZIONALI",L-26 R - Scienze e tecnologie alimentari,Libero,italiano,MESSINA
